profile,seed,chain_size,variant,eta,n_damped,base_damping_trace,slow_mode_index,slow_mode_frequency,first_order_decay_coefficient,first_order_predicted_decay_rate,exact_decay_rate,relative_prediction_error,exact_free_residual
paper,17,17,single_terminal,0.0001,1,0.7,16,2.0494574723785974,0.00045777211466745284,4.577721146674529e-08,4.5777211210893494e-08,5.589064645916484e-09,1.0766607973901706e-16
paper,17,17,single_terminal,0.0003,1,0.7,16,2.0494574723785974,0.00045777211466745284,1.3733163440023585e-07,1.373316264638002e-07,5.779029495835872e-08,1.0766607973901706e-16
paper,17,17,single_terminal,0.001,1,0.7,16,2.0494574723785974,0.00045777211466745284,4.5777211466745285e-07,4.577718193273482e-07,6.451684040765936e-07,1.0766607973901706e-16
paper,17,17,single_terminal,0.003,1,0.7,16,2.0494574723785974,0.00045777211466745284,1.3733163440023586e-06,1.3733083688138165e-06,5.807247963644046e-06,1.0766607973901706e-16
paper,17,17,single_terminal,0.01,1,0.7,16,2.0494574723785974,0.00045777211466745284,4.577721146674528e-06,4.577425784742933e-06,6.452160848844919e-05,1.0766607973901706e-16
paper,17,17,single_terminal,0.03,1,0.7,16,2.0494574723785974,0.00045777211466745284,1.3733163440023585e-05,1.3725192637217831e-05,0.0005804054426763822,1.0766607973901706e-16
paper,17,17,paper_boundary,0.0001,6,0.7,16,2.0494574723785974,0.010078599841698968,1.0078599841698968e-06,1.0078599384252904e-06,4.538785854284633e-08,1.0766607973901706e-16
paper,17,17,paper_boundary,0.0003,6,0.7,16,2.0494574723785974,0.010078599841698968,3.02357995250969e-06,3.023578717059952e-06,4.086049508875253e-07,1.0766607973901706e-16
paper,17,17,paper_boundary,0.001,6,0.7,16,2.0494574723785974,0.010078599841698968,1.0078599841698968e-05,1.0078554083192692e-05,4.5401650025520114e-06,1.0766607973901706e-16
paper,17,17,paper_boundary,0.003,6,0.7,16,2.0494574723785974,0.010078599841698968,3.0235799525096903e-05,3.0234564037171646e-05,4.086175807031449e-05,1.0766607973901706e-16
paper,17,17,paper_boundary,0.01,6,0.7,16,2.0494574723785974,0.010078599841698968,0.00010078599841698969,0.00010074023640574414,0.000454051276608962,1.0766607973901706e-16
paper,17,17,paper_boundary,0.03,6,0.7,16,2.0494574723785974,0.010078599841698968,0.00030235799525096905,0.0003011216770863745,0.004088921688901787,1.0766607973901706e-16
paper,17,17,uniform_trace,0.0001,17,0.7,6,1.172086661664477,0.020588235294117636,2.0588235294117637e-06,2.0588235293272916e-06,4.1029283726402975e-11,1.0766607973901706e-16
paper,17,17,uniform_trace,0.0003,17,0.7,6,1.172086661664477,0.020588235294117636,6.17647058823529e-06,6.176470588171659e-06,1.030213099125561e-11,1.0766607973901706e-16
paper,17,17,uniform_trace,0.001,17,0.7,6,1.172086661664477,0.020588235294117636,2.058823529411764e-05,2.0588235294042862e-05,3.631980474061041e-12,1.0766607973901706e-16
paper,17,17,uniform_trace,0.003,17,0.7,6,1.172086661664477,0.020588235294117636,6.176470588235291e-05,6.176470588223641e-05,1.886150379400617e-12,1.0766607973901706e-16
paper,17,17,uniform_trace,0.01,17,0.7,6,1.172086661664477,0.020588235294117636,0.00020588235294117637,0.00020588235294102204,7.496328706589422e-13,1.0766607973901706e-16
paper,17,17,uniform_trace,0.03,17,0.7,6,1.172086661664477,0.020588235294117636,0.0006176470588235291,0.0006176470588233893,2.2626783053023686e-13,1.0766607973901706e-16
paper,17,33,single_terminal,0.0001,1,0.7,32,2.073613403684895,2.9377879799722814e-05,2.9377879799722817e-09,2.93778801413176e-09,1.1627618703978389e-08,1.6111613022604528e-16
paper,17,33,single_terminal,0.0003,1,0.7,32,2.073613403684895,2.9377879799722814e-05,8.813363939916844e-09,8.813363513494356e-09,4.838362412652709e-08,1.6111613022604528e-16
paper,17,33,single_terminal,0.001,1,0.7,32,2.073613403684895,2.9377879799722814e-05,2.9377879799722817e-08,2.937786215337357e-08,6.006678959961981e-07,1.6111613022604528e-16
paper,17,33,single_terminal,0.003,1,0.7,32,2.073613403684895,2.9377879799722814e-05,8.813363939916845e-08,8.813316163241297e-08,5.4209352834252675e-06,1.6111613022604528e-16
paper,17,33,single_terminal,0.01,1,0.7,32,2.073613403684895,2.9377879799722814e-05,2.9377879799722815e-07,2.937611021172626e-07,6.023538827920463e-05,1.6111613022604528e-16
