profile,seed,chain_size,beta,requested_tolerance,plus_converged,minus_converged,both_converged,plus_steps,minus_steps,gradient_cosine,dynamic_vs_implicit_relative_error,dynamic_vs_centered_relative_error,exact_truncation_relative_error,state_error_bound_relative,residual_bound_relative,residual_relaxation_bound_relative,state_error_bound_holds,residual_bound_holds,plus_state_frobenius_error,minus_state_frobenius_error,plus_parameter_map_lipschitz,minus_parameter_map_lipschitz,plus_endpoint_curvature,minus_endpoint_curvature,minimum_endpoint_curvature,global_strong_convexity_lower_bound,floor_only_strong_convexity_margin,achieved_max_residual,achieved_max_velocity
paper,17,5,0.005,0.0003,True,True,True,300,300,0.9998330472734147,0.02362184596604671,0.023592375925685236,5.0976331423677755e-05,0.05066068947030457,0.38731686640408675,0.3872658900726631,True,True,0.0004415505765613797,0.00040433259622334856,0.3389322551968039,0.33892582324512943,0.23937355713967318,0.23755062125472493,0.23755062125472493,0.20791398515282805,0.045000000000000005,0.00016882778365052704,0.0001598051131120113
paper,17,5,0.12,0.0001,True,True,True,725,750,0.9997156362653215,0.028925005459414524,0.00013591564063541298,0.028874672901216168,0.029538577043191128,0.04525667728323692,0.01638200438202075,True,True,0.00016018270181156349,0.00010612348980999209,0.33900116754152887,0.3388437618938322,0.26006024984229775,0.21499443891201217,0.21499443891201217,0.09291398515282806,-0.06999999999999999,8.428786577432314e-05,7.04007204391142e-05
paper,17,5,0.08,0.0001,True,True,True,700,700,0.999944303378514,0.01297538008847905,0.00019504332798021796,0.012960947335462259,0.013844287442077904,0.030392211165333173,0.017431263829870914,True,True,0.00013120667365615595,0.00010501574637080664,0.338978733631236,0.3388731105739223,0.2530515906494312,0.2229233400902464,0.2229233400902464,0.13291398515282804,-0.03,8.264140946352065e-05,6.297035471444468e-05
paper,17,5,0.05,0.0001,True,True,True,650,650,0.9999913891460508,0.005125701885672845,0.0003100104683490892,0.005084665862326496,0.006477039385374962,0.023900357227163112,0.018815691364836615,True,True,0.00012817586931266882,0.00010454202523761857,0.3389608307150527,0.3388946963140315,0.2476089737096455,0.22885618912218292,0.22885618912218292,0.16291398515282807,0.0,6.701027312489004e-05,6.700868720108794e-05
paper,17,5,0.035,0.0001,True,True,True,600,625,0.9999977302369526,0.002607465106422804,0.0004986908668326543,0.002494800575434768,0.004432028213964697,0.028128804336598746,0.025634003761163978,True,True,0.0001246480105762555,0.00010200070216962862,0.3389515391425845,0.33890523888455004,0.24485768212557313,0.23173421083909534,0.23173421083909534,0.17791398515282805,0.015,6.829785320998111e-05,6.568392453997449e-05
paper,17,5,0.02,0.0001,True,True,True,550,550,0.9999994894823079,0.0010408155739191807,0.0008550613726202623,0.0008153138410627068,0.004670977453344561,0.0456561319978404,0.04484081815677769,True,True,0.00015259173461291595,0.00010517864914864878,0.33894201271548197,0.33891557523437876,0.24210624721773777,0.2346449712766659,0.2346449712766659,0.19291398515282807,0.030000000000000002,7.693946236850887e-05,5.807075585726597e-05
paper,17,5,0.01,0.0001,True,True,True,500,500,0.9999978174624541,0.002113271112483948,0.0021741812319703534,0.00020389000182897445,0.007255422306321968,0.07649343593030442,0.07628954592847545,True,True,0.00012358519711363743,0.00011213124913656599,0.3389355330415535,0.33892237724659396,0.24028105774838834,0.23657554129323619,0.23657554129323619,0.20291398515282805,0.04,6.792073712403053e-05,6.346487288534724e-05
paper,17,5,0.005,0.0001,True,True,True,400,425,0.9999923727073617,0.004709592138364175,0.0047359078283343535,5.0976331423677755e-05,0.016313250604129834,0.17012271303747503,0.17007173670605136,True,True,0.0001403912706225184,0.00013141401661276368,0.3389322551968039,0.3389257199911273,0.23937355713967318,0.23755062125472493,0.23755062125472493,0.20791398515282805,0.045000000000000005,7.912968167708992e-05,5.553721456286675e-05
paper,17,5,0.12,3e-05,True,True,True,850,900,0.9997162751012625,0.028897429217397737,3.7248668034957355e-05,0.028874672901216168,0.02907153942748827,0.0333869031600042,0.004512230258788028,True,True,4.790913439738373e-05,3.105806847458157e-05,0.3390011113430561,0.33884377026672136,0.26006024984229775,0.21499443891201217,0.21499443891201217,0.09291398515282806,-0.06999999999999999,2.3000910110854186e-05,2.1514475441681387e-05
paper,17,5,0.08,3e-05,True,True,True,825,850,0.9999442103144944,0.012962858277855031,3.600064931179673e-05,0.012960947335462259,0.013218568190948028,0.017391074381981887,0.004430127046519628,True,True,2.816420211169935e-05,4.0731800681504144e-05,0.33897872750402475,0.3388731212468096,0.2530515906494312,0.2229233400902464,0.2229233400902464,0.13291398515282804,-0.03,2.0783707978577392e-05,2.1326062878654522e-05
paper,17,5,0.05,3e-05,True,True,True,775,775,0.999991477746342,0.005096143689501366,9.547626545937771e-05,0.005084665862326496,0.005551397910229673,0.011317067967485543,0.006232402105159047,True,True,3.417084075214697e-05,4.3839330111954914e-05,0.33896083087445994,0.33889465559484544,0.2476089737096455,0.22885618912218292,0.22885618912218292,0.16291398515282807,0.0,2.1489683535119064e-05,1.9718077615590902e-05
