dataset,seed,chain_size,support_width,damped_fraction,damping_trace,damping_per_node,budget_steps,physical_time,dt,dynamic_vs_implicit_relative_error,dynamic_vs_exact_centered_relative_error,exact_centered_vs_implicit_relative_error,dynamic_vs_implicit_cosine,plus_state_relative_error,minus_state_relative_error,plus_residual,minus_residual,plus_velocity_norm,minus_velocity_norm,mean_dissipated_energy_two_phases,minimum_eigenspace_visibility,median_eigenspace_visibility,minimum_spectral_decay_rate,median_spectral_decay_rate,all_modes_observable,free_exact_residual,plus_exact_residual,minus_exact_residual
moons,43,17,2,0.11764705882352941,5.0,2.5,80000,8000.0,0.1,0.8029514274614891,0.002439824034128018,0.8029508940114564,0.7748931062661357,2.1593003809890278e-06,2.1461004933103157e-06,9.425257586610916e-06,9.445043710118385e-06,4.331560890108836e-06,4.331315181918204e-06,0.0018921036039210063,0.08443642418476764,0.08515276412456488,0.00027195227731025007,0.0002770223597992616,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
moons,43,17,2,0.11764705882352941,5.0,2.5,160000,16000.0,0.1,0.8029508772253711,0.00011259499750216445,0.8029508940114564,0.7752526973976568,2.049308311070797e-07,2.0745784403560214e-07,9.566459724928995e-07,9.545826287866222e-07,4.841779994139454e-07,4.745269433620256e-07,0.0018921036236737839,0.08443642418476764,0.08515276412456488,0.00027195227731025007,0.0002770223597992616,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
moons,43,17,4,0.23529411764705882,5.0,1.25,1000,100.0,0.1,12.084700170219904,12.059959575171911,0.8029508940114564,-0.9104206118830769,0.001254523390694484,0.0012948111251512631,0.00047907823440015876,0.0004913366863732317,0.0009356409738264217,0.0009627827090584791,0.0018912175223905559,0.25429773433244374,0.2563049159440576,0.0012979751116503624,0.0013332805503006862,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
moons,43,17,4,0.23529411764705882,5.0,1.25,4000,400.0,0.1,3.2951646994729553,3.1938020941034955,0.8029508940114564,0.9584715590474716,0.0003914130092358353,0.0003869054707258863,0.0001536688490277236,0.00015146131169601734,0.000370188949046167,0.0003827232894010972,0.0018920129833852324,0.25429773433244374,0.2563049159440576,0.0012979751116503624,0.0013332805503006862,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
moons,43,17,4,0.23529411764705882,5.0,1.25,16000,1600.0,0.1,0.8114195464420688,0.11605954938831639,0.8029508940114564,0.786854603002271,3.1832717764140234e-05,3.2601058909819156e-05,1.3964269505018668e-05,1.4010541011910696e-05,2.2892623784239628e-05,2.2983902144589145e-05,0.0018921032071268415,0.25429773433244374,0.2563049159440576,0.0012979751116503624,0.0013332805503006862,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
moons,43,17,4,0.23529411764705882,5.0,1.25,40000,4000.0,0.1,0.8029516475047179,0.0004872898942295096,0.8029508940114564,0.7753258993503398,1.1435614121913299e-07,1.2270538732398075e-07,1.769405931903082e-07,1.7261620803414583e-07,2.1613018877273912e-07,2.2336761094568683e-07,0.0018921035136346721,0.25429773433244374,0.2563049159440576,0.0012979751116503624,0.0013332805503006862,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
moons,43,17,4,0.23529411764705882,5.0,1.25,80000,8000.0,0.1,0.8029508933727465,3.050189767707097e-07,0.8029508940114564,0.7752551233468029,1.2094193178835966e-10,1.1952785716546802e-10,6.114964499961821e-10,6.201779107032866e-10,4.54523140834127e-10,4.5440750385740114e-10,0.0018921035136502079,0.25429773433244374,0.2563049159440576,0.0012979751116503624,0.0013332805503006862,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
moons,43,17,4,0.23529411764705882,5.0,1.25,160000,16000.0,0.1,0.8029508940114257,4.720111780743797e-12,0.8029508940114564,0.775255197521189,3.847071841189117e-15,3.676437084377627e-15,2.5928701226951174e-14,2.4941426591192744e-14,8.333080987031556e-15,8.456733957554432e-15,0.0018921035136502079,0.25429773433244374,0.2563049159440576,0.0012979751116503624,0.0013332805503006862,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
moons,43,17,6,0.35294117647058826,5.0,0.8333333333333334,1000,100.0,0.1,10.308599189349115,10.278738525923034,0.8029508940114564,-0.6377258398201544,0.0010245793393245759,0.0010491182518970537,0.00031467763778972964,0.00032728400353162823,0.0005373445472030535,0.0005639472442362988,0.0018917120483227963,0.5012429894250252,0.5050088766289498,0.002172073604205016,0.002277153062418852,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
moons,43,17,6,0.35294117647058826,5.0,0.8333333333333334,4000,400.0,0.1,2.3777369838677602,2.2363584536587244,0.8029508940114564,0.8692357199447965,0.00023864443526471917,0.00025419552673147774,9.861023301479472e-05,0.00010260687313564244,0.00014943444043576842,0.00015026306870026228,0.0018920869908618109,0.5012429894250252,0.5050088766289498,0.002172073604205016,0.002277153062418852,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
